id	mydate	genre	text
11	2021-01-04	NEWS	 En ny, brittisk undersökning visar att coronavaccinets kapacitet påverkas negativt av alkoholkonsumption, och därför bör undvikas. Men det låter osannolikt menar svenska experter - som har en annan teori. Immunförsvaret kan reagera sämre på vaccinet mot covid_19 om du har alkohol i blodet, det menar brittiska Sheena Cruickshank, professor i immunologi. Anledningen påstås vara att alkoholen förhindrar uppkomsten av viktiga mikroorganismer i tarmen, som i sin tur hjälper immunförsvaret att bekämpa virus. Samma sak visar en undersökning genomförd av Dr Ronx Ikharia, expert inom akutmedicin. Hennes studieresultat visade att tre glas prosecco kan reducera patienters mängd vita, virusbekämpande, blodkroppar till hälften, enligt Metro. Resultaten lade grunden till en brittisk rekommendation under söndagen - den som vaccinerat_sig mot covid_19 bör undvika alkohol. FINNS INGA KLINISKA STUDIER Men flera svenska experter som Nyheter24 varit i kontakt med ställer sig tveksamma till undersökningens påstådda resultat. Enligt Charlotta Bergquist, vaccinkoordinator på Läkemedelsverket, finns det inget som tyder på att just coronavaccinet skulle vara mer känsligt mot alkohol än något annat. - Det är ju väldigt generella uttalanden skulle jag säga. Det finns inga kliniska studier där man vaccinerar och ber folk dricka alkohol samtidigt, jag har svårt att se det etiskt försvarbara i det, säger hon till Nyheter24. Om en alkoholkoppling finns tror hon därmed inte att den är specifik för vaccinet mot covid-19. - Det gäller ju inte bara det här vaccinet, det gäller ju vilket vaccin som helst, i sådant fall, säger hon till Nyheter24. MAN VILL ATT FOLK SKA SKÖTA SIG Matti Sällberg är professor i biomedicin, och även han intygar att en sådan slags koppling är osannolik. Enligt honom spreds liknande information i Ryssland inför landets påbörjade vaccinering, men det tror han hade mer disciplinära avsikter: - Det beror ju mer på att man inte vill att folka börjar skåla i champagne så fort man är vaccinerad. Man vill att folk ska sköta sig, säger han till Nyheter24. EXPERTERNA ÄR ENIGA Sällberg har inte själv tagit del av några studier som påvisat att coronavaccinets kapacitet påverkas negativt av alkohol. Även där är han enig med Läkemedelsverket. Enligt Bergquist känner inte Läkemedelsverket till den påstådda kopplingen: - Nej, inte alls. Och det är inga data vi förväntar oss heller, säger hon till Nyheter24. 
12	2021-01-04	NEWS	 I Grand County i Colorado registrerades fem döda i Covid-19, men av dessa visade_sig två ha dött i en skottlossning, där den ene sköt den andra och sedan sig själv. Rättsläkare Brenda Bock berättade för nyhetsbolaget CBS: - Dessa två personer hade testat positivt för Covid, men det är inte vad som dödade dem. Skottskadorna dödade dem och det är väldigt vilseledande att uppge att dessa personer dog av Covid när det inte är vad de dog av. Bock höll fortfarande på med den rättsmedicinska undersökningen när delstaten räknade dem som coronadödsfall: - Jag förstår att man försöker hålla räkningen, men man måste göra det på rätt sätt. 
13	2021-01-04	NEWS	 Nästan alla regioner i landet är drabbade. Arkivbild. Nästan alla svenska regioner, 19 av 21, har brist på biomedicinska analytiker, som analyserar covid-19-tester. - Det har påverkat testkapaciteten negativt. Det är en av flera orsaker till att vi har haft svårt att komma upp i de önskade nivåerna vid olika tillfällen, säger Claes Ruth, som är testsamordnare och funktionschef vid Karolinska universitetslaboratoriet i Solna, till Sveriges Radio Ekot. 
14	2021-01-04	NEWS	 Vaccinsamordnare Richard Bergström. Arkivbild. Modernas vaccin mot covid_19 väntades godkännas i EU under måndagskvällen, men Europeiska läkemedelsmyndigheten (EMA) meddelar att den kommer inte att fatta ett beslut under kvällen, skriver EMA på Twitter. EMA:s kommitté för mediciner för människors (CHMP) diskussion om Modernas covid-19-vaccin har inte avslutats i dag. De ska fortsätta på onsdag den 6 januari 2021. Inga ytterligare kommentarer kommer att ges i dag , skriver EMA. 
15	2021-01-04	PBLMD	 Flera regioner diskuterar nu prioriteringsordningen för vaccineringen mot covid-19. Allt fler vill att vårdpersonal ska prioriteras högre. Region Östergötland tycker det är bra att frågan nu lyfts. - Vi måste föra den här dialogen med Folkhälsomyndigheten, säger Rickard Lundin. Både region Skåne och Region Västra Götaland har lyft frågan om att vårdpersonal borde prioriteras högre, nu när vaccineringen är i gång. Region Östergötland bekräftar att man för diskussioner i frågan. - I och med att frågan tas_upp både nationellt och internt inom våra verksamheter diskuterar även vi det med Folkhälsomyndigheten. Det är svårt att ändra, utan att ha haft den här dialogen med dem, säger Rickard Lundin, regional sjukvårdsledning, till SVT Nyheter Öst. Har lyfts internt Frågan har lyfts internt inom flera verksamheter, enligt Rickard Lundin - bland annat hos IVA-personal. - Jag tror att man måste titta på helheten kring tillgången av vaccin för att göra bedömningen vad som är bäst på totalen. Den informationen har inte vi, utan den sitter Folkhälsomyndigheten på. Men jag förstår de verksamheter som nu lyfter frågan. Det är de som står på frontlinjen mot viruset, säger han. Första gruppen klar nästa vecka Under måndagen mottog Regionen ytterligare 2000 doser vaccin, som ska doseras på särskilda boenden. Om vaccinleveransen fortsatt hålls räknar Regionen med att gruppen särskilda boenden ska vara klar nästa vecka. Med nuvarande prioriteringsordning står sedan individer med hemtjänst eller insatser i hemmet näst på tur. - Vi borde relativt snart få en signal från Folkhälsomyndigheten över hur vi bör tänka framöver. Vi är mitt uppe i fas 1 nu och om vi ska göra omstruktureringar bör det göras nu i så fall, säger Rickard Lundin. - Vi får se hur viruset beter sig. Det här viruset är ju lite lömskt, säger Matti Sällberg och menar att det är oklart hur många gånger man behöver vaccineras. Foto: SVT 
16	2021-01-04	PBLMD	 Läget är ansträngt på sjukhusens avdelningar, och antalet smittade ser_ut att öka i hela Västra götalandsregionen. Därför uppmanar nu regionstyrelsen Folkhälsomyndigheten att ändra sin rekommendation om att vaccinationens fas 1 även ska inkludera vårdpersonal. I ett pressmeddelande skriver regionstyrelsens ordförande Johnny Magnusson (M) att man med anledning av det förändrade smittoläget i regionen vill att Folkhälsomyndigheten ska ändra sin rekommendation om vilka som ska få vaccinet först till att även omfatta personal i covid-vårdkedjan. - Skulle inte vår uppmaning till ändrad prioriteringsordning hörsammas får vi överväga om vi ska gå vidare på egen hand. Helst vill vi dock se en gemensam strategi för prioriteringen inom landet, säger Johnny Magnusson i ett pressmeddelande. Det finns ett allmänintresse På Sahlgrenska universitetssjukhuset skulle detta omfatta 2200 personer, hur många fler som skulle omfattas av en förändrar prioritetsordning undersöker regionen för tillfället. - Vi vill göra detta så snart som möjligt för att säkra vår förmåga att kunna ge vård till våra invånare. Det finns ett klart allmänintresse i att vårdpersonalen prioriteras när det gäller vaccinering eftersom det är de som står in frontlinjen och behövs för att ta hand om våra invånare som blir sjuka. Personalen har dessutom dragit ett oerhört tungt lass, och vi måste göra vårt yttersta för att skydda dem i detta läge när smittan är så spridd i samhället, fortsätter regionstyrelsen ordförande Johnny Magnusson. Överläkaren Kai Knudsen vädjade att vårdpersonalen ska prioriteras högre så sent som på nyårsafton. 
17	2021-01-04	PBLMD	 Under måndagen uppdaterade Västra Götalandsregionen covid-19-statistiken och den talar sitt tydliga språk: kurvan fortsätter uppåt. Den 4 januari vårdas 543 personer på regionens sjukhus, varav 74 personer intensivvårdas. Noteringen på iva är den högsta sedan i maj förra året, och de senaste dagarna har ökningen intensifierats. Mellan den 30 december och den 4 januari har ytterligare 12 personer lagts_in på iva på regionens sjukhus och sammanlagt intensivvårdas 74 personer. Den senaste ökningen syns tydligt i nästan hela regionen, där alla kurvor pekar på en ökning av smittan igen. Undantaget är sjukhusen i Väster där antalet patienter har minskat. På Skaraborgs sjukhus vårdas 71 patienter med covid-19, vilket är den högsta siffran sedan pandemin startade. Av dessa vårdas 11 på iva, och detta är den högsta siffran sedan den 22 maj 2020 då 12 personer vårdades på sjukhuset. Vaccineringen fortsätter Under mellandagarna var det planerat att omkring 500 personer skulle få vaccinet. Och under januari väntas Västra Götaland få tillgång till ungefär 100_000 doser. Doserna kommer i första hand att användas till att vaccinera personer på särskilda boenden. 
18	2021-01-05	NEWS	 I sviterna av covid_19 har ett trettiotal barn drabbats av en livshotande hyperinflammation när kroppens immunförsvar angriper den egna kroppen. Ett hundratal tidigare fullt friska barn i Sverige har drabbats hårt av covid-19. Barnen får hyperinflammation när kroppens immunförsvar angriper den egna kroppen. Ett trettiotal har blivit livshotande sjuka. I Lund varnar läkarna för att barnintensiven är full. Den senaste tiden har rapporterna om den extremt hårda pressen på sjukvården i Skåne avlöst varandra. Även barnintensiven i Lund är helt full, eftersom fler barn med akuta sjukvårdsbehov i sviterna av covid_19 har kommit in och vårdas sida vid sida med barn som behöver intensivvård av andra orsaker. - Vi ser att barn som har haft covid drabbas av det här inflammatoriska syndromet, MIS-C, tre till sex veckor efter genomgången infektion, säger Maria Mossberg, överläkare vid barnkliniken i Lund. 
19	2021-01-05	NEWS	 Kaliforniens hälso- och sjukvårdspersonal är inte särskilt entusiastiska över de nya Coronavaccinerna - mer än hälften av den behandlande medicinska personalen på ett sjukhus har sagt nej . Även i Tyskland och Frankrike kan liknande fenomen observeras. Mellan 20 och 50 procent av personalen på andra vårdinstitutioner tyckte likadant, enligt Los Angeles Times. UCLA Health rapporterade att endast 7 300 av personalstyrkan på 37_000 hade tagit sprutan, och ansvariga tjänstemän säger att det kan finnas vaccinskepsis i vår arbetskraft . Av de 700 sjukhusanställda som är berättigade till vaccinet på St. Elizabeth Community Hospital i Tehama County gick färre än hälften med på att vaccineras. Upp till 40 procent av Los Angeles Countys vårdgivare vägrade, enligt countyts folkhälsotjänstemän. I Riverside County vägrade så många vaccinet - uppskattningsvis 50 procent - att sjukhus och tjänstemän var tvungna att hitta nya mottagare för de oanvända doserna, berättade folkhälsodirektör Kim Saruwatari för LA Times. Forskare hade antagit att sjukhuspersonal skulle vara bland de mest i samklang med de vetenskapliga data som stöder vacciner men flera rapporter om lägre än väntat deltagande har noterats över hela USA. En färsk undersökning från Kaiser Family Foundation visar att 29 procent av alla vårdpersonal är vaccinskeptisk , vilket är högre än andelen för den allmänna befolkningen, med 27 procent. Ökande motstånd i Frankrike Även antalet fransmän som motsätter sig Covid-19-vaccinet ökar. Vaccinationskampanjen har redan inletts men antalet svarande som säger att de är emot den ökar i Frankrike. Utmaningen är dubbel för den verkställande makten när det nya året börjar. Samtidigt som siffrorna vittnar om en allvarlig försening när det gäller att övertyga befolkningen i Frankrike att vaccinera sig, visade en ny studie att fransmännen till stor del motsätter sig processen och inte vill underkasta sig den. 
20	2021-01-05	NEWS	 Landets 21 regioner och 290 kommuner har kommit olika långt i att erbjuda omsorgspersonalen vaccin. Arkivbild. I flera kommuner och regioner har den prioriterade omsorgspersonalen på äldreboenden ännu inte blivit erbjudna något vaccin. Men det är också långt ifrån alla som tackar ja till sprutan. Omkring hälften av de anställda vid äldreboenden i Västernorrlands län har än så länge tackat ja till erbjudandet om vaccin, rapporterar Sundsvalls Tidning. - Vaccinationsstrategin faller därmed eftersom tanken är att skapa en skyddande mur kring de sköraste, säger regionens vaccinsamordnare Karin Sellgren till tidningen. 
21	2021-01-05	NEWS	 Svenska folkets förtroende för statsminister Stefan_Löfven (S) har minskat betydligt efter den senaste månadens avslöjanden om ministrar och myndighetschefer som åker på julresor och shoppingrundor mitt under pandemin. - Många verkar tycka att det finns en dubbelmoral, säger Karin Nelsson på Demoskop. I en ny mätning från Aftonbladet/Demoskop, som gjordes under söndagen och måndagen, säger 31 procent av de svarande att de har ganska eller mycket stort förtroende för Stefan_Löfven. Det är sju procentenheter mindre än i förra mätningen som gjordes i december. Man har även frågat om folks inställning till MSB-chefen Dan_Eliasson, och där säger blott sex procent att de har ganska eller mycket stort förtroende. Hela 62 procent uppger att deras förtroende för generaldirektören är mycket litet. Det låga förtroendet kopplas till flera avslöjanden från senaste tiden om makthavare som inte lever som de lär. I Löfvens fall handlade det om ett besök i en galleria strax före jul. Eliasson å sin sida valde att åka till Kanarieöarna över julen - trots att myndigheterna avråder från icke nödvändiga resor. - Många verkar tycka att det finns en dubbelmoral. Vi har fått höra att vi ska ställa in, inte resa och besöka släktingar och inte träffa större sällskap. Flera kommenterar att restriktionerna inte verkar gälla ministrarna själva, säger Demoskops vd Karin Nelsson till Aftonbladet. En annan skillnad mot förra mätningen är att åtta procent av de svarande nu tycker att Sveriges coronaåtgärder är för långtgående. I december var siffran fyra procent. - Det är fortfarande en mindre andel. Men vi ser vad effekten blir när personer i ledande ställning inte väljer det de själva beslutat om. Många resonerar att varför ska vi vidta åtgärder när inte ens de gör det ? säger Karin Nelsson. 
22	2021-01-05	PBLMD	 - Det är i grunden viktigt att skydda dem här personerna som bor på särskilda boenden. De har verkligen drabbats väldigt hårt av den här pandemin, säger Folkhälsomyndighetens statsepidemilog Anders_Tegnell. Foto: SVT Personer som bor på särskilda boenden för äldre eller har hemtjänst enligt socialtjänstlagen står idag först i vaccinationskön. Något vissa regioner vill ändra på. - Vi vill försäkra oss om vår förmåga att leverera sjukvård, säger Johnny Magnusson, ordförande för regionstyrelsen i Västra Götaland. I flera av landets regioner är trycket på sjukvården så pass stort att regionerna inte vet om de klarar av ett utbrott på sjukhusens större enheter. I går meddelade Västra götalands regionstyrelse att de uppmanar Folkhälsomyndigheten att ändra sin rekommendation om att vaccinationens fas 1 även ska inkludera vårdpersonal. Just nu är det personer som bor på särskilda boenden för äldre eller som har hemtjänst, i huvudsak personer som är 70 år och äldre, som först vår vaccin. Inom 1,5 meter från patienterna Även region Uppsalavill att sjukvårdspersonal ska prioriteras vid vaccinering. - Sjukhusen vårdar också patienter från särskilda boenden och den personalen som gör det och är inom 1,5 meter från patienterna bör prioriteras i vaccineringen, säger Mikael Köhler, hälso- och sjukvårdsdirektör region Uppsala till SVT Nyheter. Vilken del av sjukvården tycker ni ska prioriteras? - De som jobbar så nära som 1,5 meter till patienterna. Det är covid-avdelningarna förstås, akutmottagningar och intensivvården. Där man kan förvänta sig att särskilt boende-patienter finns. Ska föra dialog Nu höjs fler röster, denna gång från Kronoberg och Örebro, uppger Expressen. Folkhälsomyndighetens statsepidemiolog Anders_Tegnell säger i intervjun med SVT att myndigheten är villiga att föra en dialog om ändringar i prioriteringsordningen för vaccineringen av covid-19. Han påtalar dock fortsatt vikten av att vaccinera personer som bor på särskilda boenden. - Det är i grunden viktigt att skydda de här personerna som bor på särskilda boenden. De har verkligen drabbats väldigt hårt av den här pandemin, säger Folkhälsomyndighetens statsepidemilog Anders_Tegnell. Frågan ska diskuteras med bland annat Läkemedelsverket och Sveriges kommuner och regioner på måndag nästa vecka, då den nationella pandemigruppen träffas. 
